loan_amnt,term,int_rate,installment,annual_inc,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,delinq_2yrs,inq_last_6mths,mort_acc,pub_rec_bankruptcies,credit_score,loan_to_income,monthly_income,installment_to_income,total_credit_accounts,emp_length,home_ownership,verification_status,purpose
4000.0,36.0,7.97,125.3,57347.0,21.41,11.0,0.0,16886.0,86.6,21.0,0.0,0.0,2.0,0.0,717.0,0.06975081521265279,4778.916666666667,0.026219331438436185,32.0,10.0,4.0,1.0,9.0
30000.0,36.0,11.99,996.29,125000.0,11.88,14.0,0.0,24546.0,80.0,32.0,0.0,4.0,5.0,0.0,687.0,0.24,10416.666666666666,0.09564384000000001,46.0,10.0,1.0,2.0,1.0
16000.0,60.0,14.08,372.96,93000.0,24.97,15.0,0.0,12566.0,16.8,41.0,0.0,2.0,3.0,0.0,762.0,0.17204301075268819,7750.0,0.048123870967741934,56.0,6.0,1.0,2.0,2.0
14400.0,36.0,6.92,444.11,48928.17,6.65,2.0,0.0,13090.0,59.5,5.0,0.0,0.0,0.0,0.0,737.0,0.29430898396567867,4077.3475,0.1089213023908313,7.0,10.0,4.0,2.0,1.0
17350.0,60.0,19.52,455.05,39500.0,16.41,6.0,0.0,19005.0,61.9,9.0,0.0,0.0,0.0,0.0,672.0,0.43924050632911393,3291.6666666666665,0.13824303797468354,15.0,8.0,5.0,1.0,1.0
16000.0,60.0,17.1,398.51,74000.0,24.96,9.0,0.0,5079.0,72.6,36.0,1.0,1.0,4.0,0.0,692.0,0.21621621621621623,6166.666666666667,0.06462324324324324,45.0,8.0,1.0,2.0,2.0
6000.0,36.0,9.17,191.28,42000.0,16.03,4.0,0.0,4228.0,86.3,7.0,1.0,0.0,0.0,0.0,687.0,0.14285714285714285,3500.0,0.05465142857142857,11.0,6.0,5.0,2.0,1.0
15000.0,36.0,22.9,579.87,103960.0,18.49,13.0,0.0,41772.0,85.2,19.0,0.0,0.0,4.0,0.0,677.0,0.1442862639476722,8663.333333333334,0.06693382070026933,32.0,5.0,1.0,0.0,2.0
18000.0,60.0,24.49,522.96,56100.0,24.24,15.0,1.0,5367.0,43.6,47.0,0.0,1.0,3.0,1.0,662.0,0.32085561497326204,4675.0,0.11186310160427808,62.0,10.0,1.0,2.0,2.0
12000.0,36.0,15.41,418.4,79700.0,13.13,16.0,1.0,3581.0,8.6,28.0,0.0,1.0,0.0,0.0,667.0,0.15056461731493098,6641.666666666667,0.06299623588456713,44.0,5.0,5.0,2.0,7.0
15000.0,60.0,14.99,356.78,57000.0,18.15,10.0,1.0,9732.0,62.4,30.0,0.0,1.0,8.0,1.0,672.0,0.2631578947368421,4750.0,0.07511157894736842,40.0,10.0,1.0,0.0,2.0
16000.0,36.0,12.12,532.35,61000.0,27.77,13.0,0.0,18256.0,61.5,31.0,5.0,1.0,2.0,0.0,672.0,0.26229508196721313,5083.333333333333,0.10472459016393444,44.0,10.0,1.0,2.0,1.0
2500.0,36.0,9.44,80.02,53000.0,0.79,2.0,0.0,3515.0,35.1,9.0,0.0,0.0,0.0,0.0,672.0,0.04716981132075472,4416.666666666667,0.018117735849056602,11.0,6.0,4.0,0.0,2.0
4675.0,36.0,17.86,168.69,45000.0,36.69,6.0,0.0,2025.0,65.3,13.0,0.0,0.0,0.0,0.0,712.0,0.10388888888888889,3750.0,0.044983999999999996,19.0,3.0,5.0,0.0,2.0
7500.0,36.0,12.69,251.59,65000.0,4.41,15.0,0.0,5927.0,35.5,22.0,0.0,2.0,1.0,0.0,707.0,0.11538461538461539,5416.666666666667,0.04644738461538461,37.0,5.0,5.0,0.0,1.0
28000.0,36.0,7.89,876.0,126000.0,23.28,18.0,0.0,25029.0,31.6,35.0,0.0,1.0,2.0,0.0,727.0,0.2222222222222222,10500.0,0.08342857142857144,53.0,10.0,1.0,0.0,2.0
6000.0,36.0,7.9,187.75,68666.0,19.64,8.0,0.0,43424.0,83.5,25.0,0.0,0.0,4.0,0.0,712.0,0.08737948912125361,5722.166666666667,0.032810998165030726,33.0,5.0,1.0,2.0,2.0
18000.0,36.0,6.99,555.71,100000.0,12.16,6.0,0.0,17010.0,55.4,24.0,0.0,0.0,2.0,0.0,752.0,0.18,8333.333333333334,0.0666852,30.0,10.0,5.0,0.0,1.0
35000.0,36.0,8.19,1099.85,192000.0,7.0,17.0,0.0,54064.0,49.3,25.0,0.0,0.0,1.0,0.0,702.0,0.18229166666666666,16000.0,0.068740625,42.0,9.0,1.0,2.0,2.0
4000.0,36.0,15.77,140.18,40000.0,23.67,26.0,0.0,17829.0,42.8,27.0,0.0,1.0,0.0,0.0,662.0,0.1,3333.3333333333335,0.042054,53.0,6.0,5.0,2.0,2.0
22050.0,36.0,13.99,753.51,85000.0,24.1,14.0,0.0,745.0,2.1,29.0,0.0,2.0,4.0,0.0,802.0,0.25941176470588234,7083.333333333333,0.10637788235294118,43.0,5.0,1.0,2.0,2.0
6650.0,36.0,7.9,208.09,25000.0,2.16,3.0,1.0,178.0,1.5,11.0,0.0,0.0,1.0,1.0,707.0,0.266,2083.3333333333335,0.09988319999999999,14.0,6.0,1.0,2.0,4.0
12000.0,36.0,6.03,365.23,67000.0,0.91,5.0,0.0,1694.0,6.1,17.0,0.0,0.0,1.0,0.0,767.0,0.1791044776119403,5583.333333333333,0.06541432835820896,22.0,5.0,1.0,0.0,4.0
16000.0,60.0,8.39,327.42,110000.0,5.13,5.0,0.0,4280.0,27.4,25.0,0.0,0.0,5.0,0.0,702.0,0.14545454545454545,9166.666666666666,0.03571854545454546,30.0,10.0,5.0,0.0,1.0
35000.0,36.0,10.47,1137.1,129600.0,9.0,11.0,0.0,25731.0,48.8,26.0,0.0,2.0,4.0,0.0,702.0,0.2700617283950617,10800.0,0.10528703703703703,37.0,6.0,4.0,1.0,1.0
20000.0,36.0,9.93,644.69,42500.0,9.46,4.0,0.0,13621.0,80.0,6.0,0.0,1.0,0.0,0.0,662.0,0.47058823529411764,3541.6666666666665,0.18203011764705884,10.0,2.0,5.0,2.0,2.0
15000.0,36.0,5.32,451.73,140000.0,15.8,22.0,0.0,52782.0,47.0,27.0,0.0,1.0,1.0,0.0,692.0,0.10714285714285714,11666.666666666666,0.03871971428571429,49.0,2.0,1.0,1.0,4.0
15000.0,36.0,14.09,513.33,73000.0,13.92,9.0,0.0,8897.0,60.1,18.0,0.0,2.0,1.0,0.0,702.0,0.2054794520547945,6083.333333333333,0.08438301369863015,27.0,4.0,1.0,0.0,2.0
2625.0,36.0,12.99,88.44,24000.0,1.9,2.0,0.0,3451.0,60.5,13.0,0.0,0.0,0.0,0.0,722.0,0.109375,2000.0,0.044219999999999995,15.0,0.0,5.0,0.0,2.0
5000.0,36.0,15.61,174.83,21000.0,23.14,4.0,0.0,3220.0,71.6,8.0,0.0,0.0,0.0,0.0,662.0,0.23809523809523808,1750.0,0.09990285714285715,12.0,1.0,1.0,0.0,2.0
3000.0,36.0,9.76,96.47,65000.0,11.72,5.0,1.0,2223.0,33.0,18.0,0.0,1.0,1.0,1.0,672.0,0.046153846153846156,5416.666666666667,0.017809846153846152,23.0,1.0,5.0,0.0,1.0
10000.0,36.0,15.99,351.53,56000.0,14.44,15.0,0.0,20702.0,30.7,57.0,3.0,1.0,1.0,0.0,687.0,0.17857142857142858,4666.666666666667,0.07532785714285713,72.0,7.0,1.0,1.0,1.0
20000.0,60.0,8.24,407.83,89568.0,20.86,14.0,0.0,18521.0,33.0,38.0,0.0,1.0,1.0,0.0,727.0,0.22329403358342265,7464.0,0.05463960342979635,52.0,10.0,1.0,2.0,1.0
24000.0,36.0,8.99,763.09,1100000.0,3.11,13.0,0.0,94603.0,53.2,38.0,1.0,2.0,3.0,0.0,697.0,0.02181818181818182,91666.66666666667,0.008324618181818181,51.0,10.0,4.0,1.0,4.0
4800.0,36.0,17.99,173.51,28800.0,12.13,8.0,0.0,2692.0,30.6,15.0,1.0,2.0,0.0,0.0,662.0,0.16666666666666666,2400.0,0.07229583333333332,23.0,2.0,4.0,2.0,1.0
6500.0,36.0,9.17,207.22,20000.0,12.34,10.0,0.0,6262.0,27.3,14.0,1.0,1.0,0.0,0.0,707.0,0.325,1666.6666666666667,0.124332,24.0,8.0,5.0,0.0,2.0
16000.0,36.0,15.31,557.08,55000.0,31.05,19.0,1.0,20541.0,74.0,45.0,0.0,2.0,0.0,1.0,677.0,0.2909090909090909,4583.333333333333,0.12154472727272729,64.0,10.0,5.0,2.0,2.0
16000.0,60.0,12.74,361.93,160000.0,15.17,18.0,1.0,26281.0,59.9,32.0,0.0,0.0,2.0,1.0,672.0,0.1,13333.333333333334,0.02714475,50.0,10.0,4.0,1.0,4.0
2800.0,36.0,17.27,100.21,28000.0,27.56,6.0,0.0,8253.0,57.3,11.0,0.0,0.0,0.0,0.0,677.0,0.1,2333.3333333333335,0.04294714285714285,17.0,6.0,5.0,0.0,1.0
20000.0,36.0,10.75,652.41,62000.0,24.29,19.0,0.0,5746.0,19.8,29.0,0.0,0.0,0.0,0.0,707.0,0.3225806451612903,5166.666666666667,0.12627290322580645,48.0,10.0,5.0,2.0,2.0
24000.0,36.0,6.62,736.89,120000.0,16.11,17.0,0.0,29910.0,29.9,40.0,0.0,0.0,3.0,0.0,727.0,0.2,10000.0,0.073689,57.0,2.0,1.0,2.0,1.0
14000.0,60.0,20.49,374.75,92000.0,32.17,12.0,0.0,35576.0,90.1,43.0,0.0,0.0,3.0,0.0,692.0,0.15217391304347827,7666.666666666667,0.048880434782608694,55.0,10.0,1.0,0.0,2.0
15000.0,36.0,7.62,467.43,51000.0,26.38,9.0,0.0,11970.0,27.5,18.0,0.0,0.0,2.0,0.0,772.0,0.29411764705882354,4250.0,0.1099835294117647,27.0,1.0,1.0,0.0,2.0
24000.0,60.0,16.99,596.34,50000.0,22.89,13.0,0.0,9420.0,79.2,28.0,1.0,0.0,1.0,0.0,667.0,0.48,4166.666666666667,0.1431216,41.0,3.0,1.0,2.0,2.0
